Year,Wholesale price index (2005 = 100),Consumer price index (2005 = 100),Net taxes on products (constant LCU),Money and quasi money (M2) as % of GDP,Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Population ages 15-64 (% of total),Population in largest city,Gross national expenditure deflator (base year varies by country),Gross fixed capital formation (% of GDP),Gross domestic savings (% of GDP),Gross capital formation (% of GDP),Crop production index (2004-2006 = 100),Livestock production index (2004-2006 = 100),Food production index (2004-2006 = 100),"Life expectancy at birth, female (years)",Urban population (% of total),Population ages 0-14 (% of total),Number of infant deaths,"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)",Final consumption expenditure (constant 2005 US$),"Agriculture, value added (% of GDP)",Rural population (% of total population),Food exports (% of merchandise exports),"Fertility rate, total (births per woman)",Age dependency ratio (% of working-age population),Incidence
1980,1.90E+01,1.53E+01,6.78E+11,3.39E+01,3.70E+01,2.02E+01,2.02E+01,5.71E+01,5.56E+06,1.77E+01,1.79E+01,1.50E+01,1.80E+01,5.05E+01,3.88E+01,4.78E+01,5.54E+01,2.31E+01,3.93E+01,2.75E+06,2.69E+02,3.05E+02,1.14E+02,1.23E+01,3.50E+01,1.77E+11,3.54E+01,7.69E+01,2.82E+01,4.68E+00,7.52E+01,1.37E+06
1981,2.13E+01,1.73E+01,7.49E+11,3.39E+01,3.84E+01,2.09E+01,2.09E+01,5.72E+01,5.84E+06,1.94E+01,1.86E+01,1.93E+01,2.18E+01,5.41E+01,4.12E+01,5.11E+01,5.59E+01,2.33E+01,3.91E+01,2.71E+06,2.65E+02,3.01E+02,1.11E+02,1.21E+01,3.47E+01,1.84E+11,3.41E+01,7.67E+01,3.02E+01,4.60E+00,7.47E+01,1.39E+06
1982,2.18E+01,1.87E+01,8.22E+11,3.55E+01,4.17E+01,2.23E+01,2.23E+01,5.74E+01,6.18E+06,2.09E+01,1.98E+01,1.99E+01,2.20E+01,5.29E+01,4.37E+01,5.08E+01,5.62E+01,2.36E+01,3.89E+01,2.66E+06,2.60E+02,2.98E+02,1.08E+02,1.19E+01,3.43E+01,1.88E+11,3.29E+01,7.64E+01,2.68E+01,4.52E+00,7.42E+01,1.35E+06
1983,2.35E+01,2.09E+01,8.33E+11,3.56E+01,4.16E+01,2.25E+01,2.25E+01,5.76E+01,6.54E+06,2.23E+01,1.92E+01,1.80E+01,2.00E+01,5.96E+01,4.64E+01,5.69E+01,5.66E+01,2.38E+01,3.87E+01,2.61E+06,2.58E+02,2.96E+02,1.05E+02,1.17E+01,3.39E+01,2.02E+11,3.35E+01,7.62E+01,2.39E+01,4.44E+00,7.37E+01,1.35E+06
1984,2.52E+01,2.26E+01,8.52E+11,3.75E+01,4.48E+01,2.39E+01,2.39E+01,5.77E+01,6.92E+06,2.44E+01,1.97E+01,2.01E+01,2.15E+01,6.04E+01,4.87E+01,5.80E+01,5.69E+01,2.41E+01,3.85E+01,2.55E+06,2.55E+02,2.94E+02,1.03E+02,1.15E+01,3.35E+01,2.09E+11,3.22E+01,7.59E+01,2.33E+01,4.36E+00,7.32E+01,1.36E+06
1985,2.63E+01,2.39E+01,1.00E+12,3.88E+01,4.67E+01,2.41E+01,2.41E+01,5.79E+01,7.33E+06,2.61E+01,2.06E+01,2.11E+01,2.35E+01,6.13E+01,5.13E+01,5.92E+01,5.72E+01,2.43E+01,3.84E+01,2.51E+06,2.53E+02,2.92E+02,1.00E+02,1.13E+01,3.31E+01,2.20E+11,3.09E+01,7.57E+01,2.53E+01,4.28E+00,7.28E+01,1.38E+06
1986,2.78E+01,2.59E+01,1.10E+12,4.09E+01,4.95E+01,2.54E+01,2.54E+01,5.80E+01,7.75E+06,2.74E+01,2.14E+01,2.17E+01,2.35E+01,6.13E+01,5.32E+01,6.02E+01,5.76E+01,2.46E+01,3.82E+01,2.48E+06,2.51E+02,2.90E+02,9.77E+01,1.12E+01,3.27E+01,2.29E+11,2.97E+01,7.54E+01,2.44E+01,4.20E+00,7.24E+01,1.41E+06
1987,2.97E+01,2.82E+01,1.19E+12,4.19E+01,5.01E+01,2.49E+01,2.49E+01,5.81E+01,8.20E+06,3.01E+01,2.21E+01,2.13E+01,2.26E+01,6.00E+01,5.45E+01,5.97E+01,5.79E+01,2.48E+01,3.80E+01,2.44E+06,2.48E+02,2.88E+02,9.52E+01,1.10E+01,3.23E+01,2.38E+11,2.92E+01,7.52E+01,1.97E+01,4.13E+00,7.20E+01,1.41E+06
1988,3.23E+01,3.09E+01,1.24E+12,4.18E+01,4.98E+01,2.48E+01,2.48E+01,5.83E+01,8.68E+06,3.26E+01,2.19E+01,2.24E+01,2.38E+01,6.71E+01,5.60E+01,6.54E+01,5.82E+01,2.51E+01,3.79E+01,2.41E+06,2.45E+02,2.88E+02,9.28E+01,1.09E+01,3.18E+01,2.53E+11,3.02E+01,7.49E+01,1.67E+01,4.04E+00,7.16E+01,1.44E+06
1989,3.45E+01,3.19E+01,1.29E+12,4.21E+01,5.14E+01,2.61E+01,2.61E+01,5.84E+01,9.19E+06,3.55E+01,2.27E+01,2.28E+01,2.39E+01,7.17E+01,5.88E+01,6.91E+01,5.86E+01,2.53E+01,3.77E+01,2.38E+06,2.42E+02,2.88E+02,9.05E+01,1.07E+01,3.12E+01,2.65E+11,2.90E+01,7.47E+01,1.64E+01,3.96E+00,7.12E+01,1.53E+06
